Year,ClinicalDomain,Category,ReportCount,PctOfYearReports
2025,eye,dry_eye,9,0.0224
2025,fluid_collection,seroma,1194,2.9668
2025,fluid_collection,swelling_edema,50,0.1242
2025,gastrointestinal_system,gastrointestinal_problem_unspecified,12,0.0298
2025,health_effect_unspecified,reported_rupture_unspecified,637,1.5828
2025,infection,abscess,25,0.0621
2025,infection,bacterial_infection,30,0.0745
2025,infection,cellulitis,17,0.0422
2025,infection,infection,388,0.9641
2025,infection,postoperative_wound_infection,122,0.3031
2025,inflammatory_response,foreign_body_reaction,86,0.2137
2025,inflammatory_response,granuloma,343,0.8523
2025,inflammatory_response,inflammation,61,0.1516
2025,inflammatory_response,local_reaction,131,0.3255
2025,local_complication,calcification,103,0.2559
2025,local_complication,capsular_contracture,17954,44.6118
2025,local_complication,wrinkling_or_rippling,282,0.7007
2025,lymphatic_system,lymphadenopathy,392,0.974
2025,musculoskeletal_system,arthralgia,12,0.0298
2025,musculoskeletal_system,muscle_weakness_atrophy,4,0.0099
2025,musculoskeletal_system,myalgia,8,0.0199
2025,neoplasm,anaplastic_large_cell_lymphoma,2,0.005
2025,neoplasm,bia_alcl,68,0.169
2025,neoplasm,breast_cancer,83,0.2062
2025,neoplasm,cancer_unspecified,45,0.1118
2025,neoplasm,lymphoma_unspecified,94,0.2336
2025,nervous_system,burning_sensation,12,0.0298
2025,nervous_system,cognitive_changes,14,0.0348
2025,nervous_system,confusion_disorientation,3,0.0075
2025,nervous_system,dizziness,2,0.005
2025,nervous_system,headache,26,0.0646
2025,nervous_system,memory_loss_impairment,4,0.0099
2025,nervous_system,neurological_deficit,2,0.005
2025,nervous_system,numbness,6,0.0149
2025,nervous_system,paresthesia,101,0.251
2025,nervous_system,sleep_dysfunction,13,0.0323
2025,nervous_system,vertigo,6,0.0149
2025,patient_symptom,chest_pain,9,0.0224
2025,patient_symptom,pain,1123,2.7904
2025,psychological_condition,anxiety,69,0.1714
2025,psychological_condition,depression,15,0.0373
2025,psychological_condition,emotional_changes,17,0.0422
2025,respiratory_system,dyspnea,11,0.0273
2025,skin_subcutaneous_tissue,hair_loss,20,0.0497
2025,skin_subcutaneous_tissue,itching,9,0.0224
2025,skin_subcutaneous_tissue,rash,23,0.0571
2025,skin_subcutaneous_tissue,skin_inflammation_irritation,77,0.1913
2025,structural_aesthetic_outcome,deformity_disfigurement,6643,16.5064
2025,structural_aesthetic_outcome,ptosis,77,0.1913
2025,systemic_condition,autoimmune_disorder,100,0.2485
2025,systemic_symptom,fatigue,43,0.1068
2025,systemic_symptom,weight_changes,14,0.0348
2025,tissue_injury,erosion,18,0.0447
2025,tissue_injury,pocket_erosion,49,0.1218
2025,tissue_injury,tissue_necrosis,102,0.2534
2025,traumatic_injury,crushing_injury,56,0.1391
2025,wound_healing,impaired_wound_healing,105,0.2609
2025,wound_healing,scar_tissue,39,0.0969
2025,wound_healing,wound_dehiscence,67,0.1665
2025,wound_or_breast_finding,fluid_discharge,32,0.0795
